001|"A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokemon."|"Bulbasaur"|"Grass, Poison"
002|"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."|"Ivysaur"|"Grass, Poison"
003|"The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight."|"Venusaur"|"Grass, Poison"
004|"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."|"Charmander"|"Fire"
005|""|"Charmeleon"|"Fire"
006|""|"Charizard"|"Fire, Flying"
007|""|"Squirtle"|"Water"
008|""|"Wartortle"|"Water"
009|""|"Blastoise"|"Water"
010|""|"Caterpie"|"Bug"
011|""|"Metapod"|"Bug"
012|""|"Butterfree"|"Bug, Flying"
013|""|"Weedle"|"Bug, Poison"
014|""|"Kakuna"|"Bug, Poison"
015|""|"Beedrill"|"Bug, Poison"
016|""|"Pidgey"|"Normal, Flying"
017|""|"Pidgeotto"|"Normal, Flying"
018|""|"Pidgeot"|"Normal, Flying"
019|""|"Rattata"|"Normal"
020|""|"Raticate"|"Normal"
021|""|"Spearow"|"Normal, Flying"
022|""|"Fearow"|"Normal, Flying"
023|""|"Ekans"|"Poison"
024|""|"Arbok"|"Poison"
025|""|"Pikachu"|"Electric"
026|""|"Raichu"|"Electric"
027|""|"Sandshrew"|"Ground"
028|""|"Sandslash"|"Ground"
029|""|"Nidoran♀"|"Poison"
030|""|"Nidorina"|"Poison"
031|""|"Nidoqueen"|"Poison, Ground"
032|""|"Nidoran♂"|"Poison"
033|""|"Nidorino"|"Poison"
034|""|"Nidoking"|"Poison, Ground"
035|""|"Clefairy"|"Normal"
036|""|"Clefable"|"Normal"
037|""|"Vulpix"|"Fire"
038|""|"Ninetales"|"Fire"
039|""|"Jigglypuff"|"Normal"
040|""|"Wigglytuff"|"Normal"
041|""|"Zubat"|"Poison, Flying"
042|""|"Golbat"|"Poison, Flying"
043|""|"Oddish"|"Grass, Poison"
044|""|"Gloom"|"Grass, Poison"
045|""|"Vileplume"|"Grass, Poison"
046|""|"Paras"|"Bug, Grass"
047|""|"Parasect"|"Bug, Grass"
048|""|"Venonat"|"Bug, Poison"
049|""|"Venomoth"|"Bug, Poison"
050|""|"Diglett"|"Ground"
051|""|"Dugtrio"|"Ground"
052|""|"Mewoth"|"Normal"
053|""|Persian"|"Normal"
054|""|"Psyduck"|"Water"
055|""|"Golduck"|"Water"
056|""|"Mankey"|"Fighting"
057|""|"Primeape"|"Fighting"
058|""|"Growlithe"|"Fire"
059|""|"Arcanine"|"Fire"
060|""|"Poliwag"|"Water"
061|""|"Poliwhirl"|"Water"
062|""|"Poliwrath"|"Water, Fighting"
063|""|"Abra"|"Psychic"
064|""|"Kadabra"|"Psychic"
065|""|"Alakazam"|"Psychic"
066|""|"Machop"|"Fighting"
067|""|"Machoke"|"Fighting"
068|""|"Machamp"|"Fighting"
069|""|"Bellsprout"|"Grass, Poison"
070|""|"Weepinbell"|"Grass, Poison"
071|""|"Victreebel"|"Grass, Poison"
072|""|"Tentacool"|"Water, Poison"
073|""|"Tentacruel"|"Water, Poison"
074|""|"Geodude"|"Rock, Ground"
075|""|"Graveler"|"Rock, Ground"
076|""|"Golem"|"Rock, Ground"
077|""|"Ponyta"|"Fire"
078|""|"Rapidash"|"Fire"
079|""|"Slowpoke"|"Water, Psychic"
080|""|"Slowbro"|"Water,Psychic"
081|""|"Magnemite"|"Electric"
082|""|"Magneton"|"Electic"
083|""|"Farfetch'd"|"Normal, Flying"
084|""|"Doduo"|"Normal, Flying"
085|""|"Dodrio"|"Normal, Flying"
086|""|"Seel"|"Water"
087|""|"Dewgong|"Water, Ice"
088|""|"Grimer"|"Poison"
089|""|"Muk"|"Poison"
090|""|"Shellder"|"Water"
091|""|"Cloyster"|"Water, Ice"
092|""|"Gastly"|"Ghost, Poison"
093|""|"Haunter"|"Ghost, Poison"
094|""|"Gengar"|"Ghost, Poison"
095|""|"Onix"|"Rock, Ground"
096|""|"Drowzee"|"Psychic"
097|""|"Hypno"|"Psychic"
098|""|"Krabby"|"Water"
099|""|"Kingler"|"Water"
100|""|"Voltorb"|"Electric"
101|""|"Electode"|"Electric"
102
103
104
105
106
107
108
109
110
111
112
113
114
115
116
117
118
119
120
121
122
123
124
125
126
127
128
129
130
131
132
133
134
135
136
137
138
139
140
141
142
143
144
145
146
147
148
149
150
151